,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
86,2,1,3,112,371,11,43,0.57207098276983,0.017615069434331554,0.05041142347534541,0.001102536176500159,10.21349850474726,10.160293135041172,2.7869277400961794,3.743204088131681,0.016896669510986496,0.01703326751239393,0.09848975271204943,0.21221570551586538
87,2,1,4,112,371,2,6,0.19180810192014436,0.001625279875953754,0.00909643077586985,0.00033955747376256237,10.16050756520759,9.933196050935486,2.4642415910071014,2.7584842821056075,0.0016680360776936138,0.0016540195397569601,0.023367329618680117,0.030048125086930864
88,2,1,5,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
89,2,1,6,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
90,2,2,0,112,371,5387,2202,2.841393656566356,2.412417237556876,0.20055657984881078,0.0,10.14135285741938,10.18554872536943,5.209756601162901,5.711164883873108,2.316407490216126,2.414953085613443,1.2225239274577586,1.5313107408518616
91,2,2,1,112,371,426,490,1.650444594553151,0.6031858855880136,0.1440637295017529,0.0,10.114499179747135,10.185897946502521,4.510173478113213,4.959807193441331,0.5383337680337493,0.598940886891074,0.6612114184227756,0.8803035691226035
92,2,2,2,112,371,35,59,0.9578260616931007,0.05873514098424956,0.0812582357404711,0.00050224104648005,10.141279477293358,10.17889226065356,3.4785436447256206,3.9013723832657714,0.05717423836940472,0.05766612078515579,0.19279918940498153,0.2700029164052424
93,2,2,3,112,371,3,5,0.1533982042531912,0.00355717011069424,0.007779080127517738,0.00021954945107456538,10.033099786281737,10.054080397001066,2.520664247132471,2.6673247256128305,0.0033580577945599268,0.0033224692337337704,0.023112222517677614,0.02388686049819054
94,2,2,4,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
95,2,2,5,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
96,2,3,0,112,371,6657,2629,4.258707360898054,2.59252136089753,0.21316746421103183,0.0025292886010365176,10.14721821832324,10.187068736898828,5.27800914185756,5.799783595244637,2.5309039399140634,2.5926693874814535,1.2902428582776768,1.58266955094409
97,2,3,1,112,371,932,1150,4.258707360898055,1.044432476458259,0.15584249540337045,0.0001977580053037734,10.109452527269951,10.185689168775161,4.520644852011735,5.386362991848987,0.9134202617980823,1.042351487458212,0.7547824185917343,1.2201947751399735
98,2,3,2,112,371,112,371,4.258707360898054,0.18608234005535185,0.10960884966945816,0.00010157601718586496,10.135473814686122,10.182890694097964,3.7252132361864323,4.820705270415089,0.1612680501662923,0.18294193333169437,0.4037301425563927,0.780528494684336
99,2,3,3,112,371,11,33,2.1377751172560755,0.016381671465862675,0.05504097825684882,0.0015038454115928312,10.195538100345754,10.158334144170235,3.0328327999181104,3.6108580449256134,0.01681087571463216,0.017033268355186655,0.11022252348204688,0.17101919138978652
100,2,3,4,112,371,2,4,0.072005604606861,0.0019379291598647398,0.0038006452036500465,0.00020312116225358,8.134435928841386,9.93355243013803,2.204807011433857,2.5557495093524647,0.0016711163147787459,0.0016540192962872613,0.011370554507123105,0.01774173373733755
101,2,3,5,112,371,2,1,0.072005604606861,0.001757722037199673,0.0,0.0,8.134435928841386,9.933136629698268,1.8626066180932157,1.8626066180932157,0.0016711163147787459,0.0016540195832549678,0.0,0.0
102,2,3,6,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
103,2,3,7,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
104,2,4,0,112,371,6559,2456,2.936031684638471,2.5839488262583923,0.2103871171953861,0.0,10.14971828946485,10.185636135871249,5.254817169851014,5.76574872270095,2.518462516248962,2.58159210719409,1.267956703489684,1.5570235401141939
105,2,4,1,112,371,249,413,1.4630845187278387,0.381783912428748,0.13983132078056323,0.0,10.13798245042957,10.185570790296442,4.326094774592251,4.874327825803909,0.3501372215074282,0.3833367878407568,0.5680349250495457,0.8177940878143591
106,2,4,2,112,371,20,39,0.8522779105873302,0.032468466667341316,0.06430808128467727,0.00015969014388996996,10.131412839127877,10.171777079729466,3.2351589023296032,3.6943846271723007,0.03225993689575074,0.03244740577501892,0.13713725094989127,0.19627437569202077
107,2,4,3,112,371,2,6,0.08438197621687968,0.0019058402420029858,0.00895653101179425,0.0003296263198578836,9.519848276027421,9.940305105533437,2.3729887417531326,2.758485157389715,0.0016679858912936679,0.0016540203631320676,0.02243230600712331,0.030048533258803578
108,2,4,4,112,371,1,2,0.0,0.0,0.0038369900959318907,6.99813971865909e-05,,,1.8939246951551731,2.209178329295101,0.0,0.0,0.004129580888699314,0.005732339978337073
109,2,4,5,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
110,2,4,6,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
111,3,0,0,11,33,4726,2162,1.1743263015513163,0.6382298079295486,0.17074597162075597,0.003795954963134505,10.201775628173662,10.246319937748433,4.504088104725119,5.009618277886904,0.6053364836819328,0.6376689278089617,0.46330876175262387,0.5767217261550114
